H16_A2243	YPO3626
H16_A1266	YPO2302
H16_A2114	YPO0792
H16_A2113	YPO0321
H16_A0299	YPO3992
H16_A2237	YPO3012
H16_A1027	YPO0313
H16_A2239	YPO3014
H16_A2238	YPO3013
H16_B2037	YPO3807
RALH11977	YPO1139
H16_A3320	YPO0169
H16_A3441	YPO0145
H16_A1263	YPO0185
H16_A3322	YPO2205
H16_A1264	YPO2303
H16_A2354	YPO0378
H16_A3321	YPO2206
H16_A1386	YPO1176
H16_A3599	YPO1238
H16_A1178	YPO2533
H16_A1057	YPO2549
H16_A3236	YPO3423
H16_A1179	YPO3953
H16_A1058	YPO2548
H16_A2028	YPO2870
H16_A1051	YPO2554
H16_A1055	YPO2551
H16_A1167	YPO0888
H16_A1047	YPO0085
H16_A3106	YPO0942
H16_A3589	YPO3249
H16_A3107	YPO0311
H16_A3109	YPO1207
H16_B2057	YPO1290
H16_B1081	YPO1410
H16_B1081	YPO0322
H16_B1082	YPO3854
H16_A1041	YPO0533
H16_A2376	YPO3358
H16_A3344	YPO2773
H16_A3343	YPO2383
H16_A3585	YPO3070
H16_A2565	YPO1601
H16_A2444	YPO4117
H16_A2443	YPO4116
H16_A2567	YPO1599
H16_A3414	YPO1546
H16_A2446	YPO3501
H16_A2325	YPO1113
H16_A1236	YPO0531
H16_A2324	YPO1114
H16_A2445	YPO3500
H16_A2566	YPO1600
H16_A2327	YPO3712
H16_A2327	YPO3793
H16_A1237	YPO0530
H16_A3416	YPO1548
H16_A2569	YPO1597
H16_A2568	YPO1598
H16_A3418	YPO3569
H16_A2329	YPO3795
H16_A2328	YPO3794
H16_B0062	YPO2539
H16_B1391	YPO0155
H16_B2481	YPO1083
H16_B1390	YPO3520
H16_A1470	YPO4000
H16_A1471	YPO3999
H16_A1472	YPO4001
H16_A0262	YPO4119
H16_A0263	YPO4118
H16_A3410	YPO1543
H16_A2442	YPO4115
H16_A2441	YPO4114
H16_A3643	YPO4127
H16_A1343	YPO2429
H16_A3642	YPO4126
H16_A1223	YPO1060
H16_A1344	YPO2428
H16_A1465	YPO3249
H16_A1588	YPO1199
H16_A2436	YPO2837
H16_A3409	YPO1542
H16_B1027	YPO3166
H16_B1028	YPO3167
H16_B1388	YPO0926
H16_B1025	YPO3164
H16_B1026	YPO3165
H16_B1386	YPO0922
H16_B0295	YPO2164
H16_B1385	YPO0921
H16_B2470	YPO1502
H16_A2550	YPO1615
H16_A0372	YPO2013
H16_A3641	YPO4125
H16_A2552	YPO2930
H16_A0374	YPO2014
H16_A1221	YPO3073
H16_A0045	YPO2514
H16_A0045	YPO2612
H16_A0045	YPO2777
H16_A3434	YPO0152
H16_A2345	YPO0915
H16_A1134	YPO3117
H16_A2586	YPO4078
H16_A0046	YPO2513
H16_A1377	YPO3417
H16_A2589	YPO1413
H16_A2346	YPO0463
H16_A3435	YPO3215
H16_A0169	YPO3407
H16_A3317	YPO0155
H16_A2227	YPO3725
H16_B1179	YPO1290
H16_B2142	YPO0035
H16_B1291	YPO3464
H16_A1370	YPO2824
H16_A1494	YPO1410
H16_A1494	YPO0322
PHG027	YPO3520
H16_A1495	YPO1166
H16_A1374	YPO3419
H16_A2343	YPO1022
H16_A0286	YPO3805
H16_A3431	YPO3557
H16_A1375	YPO3418
H16_A1002	YPO3034
H16_A1244	YPO3805
H16_A2454	YPO0481
H16_A2335	YPO0024
H16_A0037	YPO0185
H16_A2217	YPO3726
H16_A0038	YPO0185
H16_A3308	YPO2514
H16_A3308	YPO2612
H16_A3308	YPO2777
H16_A3309	YPO2513
H16_B2378	YPO3011
H16_B2012	YPO3804
RALH11797	YPO3805
H16_B0070	YPO2288
H16_A0391	YPO3577
H16_A0151	YPO3722
H16_A2330	YPO3796
H16_A0395	YPO3123
H16_A1000	YPO1414
H16_A1122	YPO3286
H16_A2452	YPO0482
H16_A2884	YPO0056
H16_A2883	YPO0055
H16_A0224	YPO0045
H16_A2525	YPO0253
H16_A2403	YPO2984
H16_A1558	YPO1238
H16_A0227	YPO3845
H16_A2769	YPO3305
H16_A1317	YPO2751
H16_A0107	YPO2509
H16_A2529	YPO3909
H16_B2447	YPO2773
H16_B2567	YPO2533
H16_A3619	YPO0907
H16_B2566	YPO2066
H16_B1355	YPO0251
H16_B1477	YPO1072
H16_B1595	YPO2827
H16_B2564	YPO2977
H16_B1593	YPO0162
PHG200	YPO2908
H16_A2752	YPO1540
H16_A2752	YPO1539
H16_A2994	YPO0158
H16_A0332	YPO1133
H16_A2630	YPO1111
H16_A0453	YPO2053
H16_A2751	YPO3443
H16_A1543	YPO3804
H16_A2996	YPO3366
H16_A0334	YPO0066
H16_A2995	YPO3365
H16_A0455	YPO2054
H16_A2756	YPO2514
H16_A2756	YPO2612
H16_A2756	YPO2777
H16_A1303	YPO4000
H16_A1304	YPO3999
H16_A0336	YPO0068
H16_A1425	YPO2420
H16_A0218	YPO3162
H16_A2638	YPO2221
