Pathway name	RSPSS4	RSBA7	RSMOLK2	RSRUN2340	RSCFB2957	RSBDBR229	RSGMI1000	RSK60	RSPSI07	RSR24	RSUW551
chitin_degradation	[]	[]	[]	[]	[]	[]	[]	[]	[]	[]	[]
ciclopentanol_degradation	[]	[]	[]	[]	[]	[]	[]	[]	[]	[]	[]
citric_acid_cycle	[]	[]	[]	[]	[]	[]	[]	[]	[]	[]	[]
citric_acid_cycle	[]	[]	[]	[]	[]	[]	[]	[]	[]	[]	[]
coenzyme_a_biosynthesis	[]	[]	[]	[]	[]	[]	[]	[]	[]	[]	[]
cofactor_and_prosthetic_group_biosynthesis	[R_SERASr, R_PHEME2abcpp]	[R_FBACabcpp, R_PHEME2abcpp]	[R_SERASr]	[R_FBACabcpp, R_SERASr, R_PHEME2abcpp]	[R_FBACabcpp, R_PHEME2abcpp]	[R_FBACabcpp, R_TRPt2rpp, R_TYRt2rpp, R_PHEt2rpp]	[R_SERASr, R_PHEME2abcpp]	[R_FBACabcpp, R_PHEME2abcpp]	[R_FBACabcpp, R_TRPt2rpp, R_TYRt2rpp, R_PHEt2rpp]	[R_FBACabcpp, R_SERASr]	[R_SERASr]
cofactor_and_prosthetic_group_biosynthesis	[R_SERASr, R_PHEME2abcpp]	[R_FBACabcpp, R_PHEME2abcpp]	[R_SERASr]	[R_FBACabcpp, R_SERASr, R_PHEME2abcpp]	[R_FBACabcpp, R_PHEME2abcpp]	[R_FBACabcpp, R_TRPt2rpp, R_TYRt2rpp, R_PHEt2rpp]	[R_SERASr, R_PHEME2abcpp]	[R_FBACabcpp, R_PHEME2abcpp]	[R_FBACabcpp, R_TRPt2rpp, R_TYRt2rpp, R_PHEt2rpp]	[R_FBACabcpp, R_SERASr]	[R_SERASr]
complex_macromolecule_deconvolution	[]	[]	[]	[]	[]	[]	[]	[]	[]	[]	[]
copper_resistance	[]	[R_CU1Opp, R_CU2_bd_CopA]	[R_CU1Opp, R_CU2_bd_CopA]	[]	[R_CU1Opp, R_CU2_bd_CopA]	[R_CU1Opp, R_CU2_bd_CopA]	[]	[R_CU1Opp, R_CU2_bd_CopA]	[]	[]	[R_CU1Opp, R_CU2_bd_CopA]
cyanate_degradation	[]	[]	[]	[R_CYNTAH]	[]	[]	[]	[]	[]	[]	[]
cyanide_degradation	[]	[]	[]	[]	[]	[]	[]	[]	[]	[]	[]
cyanoamino_acid_metabolism	[]	[]	[]	[]	[]	[]	[]	[]	[]	[]	[]
cyanoamino_acid_metabolism	[]	[]	[]	[]	[]	[]	[]	[]	[]	[]	[]
cysteine_biosynthesis	[]	[]	[]	[]	[]	[]	[]	[]	[]	[]	[]
cysteine_degradation	[]	[]	[]	[]	[]	[]	[]	[]	[]	[]	[]
cysteine_metabolism	[R_ACTD2]	[R_ACTD2]	[R_ACTD2]	[R_ACTD2]	[R_ACTD2]	[R_ACTD2]	[R_ACTD2]	[R_ACTD2]	[R_ACTD2]	[]	[R_ACTD2]
cytokinin_biosynthesis	[]	[R_DMAPP_AMPIT]	[]	[]	[]	[]	[]	[]	[]	[]	[]
d_alanine_metabolism	[]	[]	[]	[]	[]	[]	[]	[]	[]	[]	[]
d_galactonate_degradation	[]	[R_GALCTND, R_DDPGALA, R_DDGALK]	[R_GALCTND, R_DDPGALA, R_DDGALK]	[]	[R_GALCTND, R_DDPGALA, R_DDGALK]	[]	[]	[R_GALCTND, R_DDPGALA, R_DDGALK]	[]	[]	[R_GALCTND, R_DDPGALA, R_DDGALK]
