ids	RSBA7	RSBDBR229	RSCFB2957	RSGMI1000	RSK60	RSMOLK2	RSPSI07	RSPSS4	RSR24	RSRUN2340	RSUW551
M_2h2hpd_c	1	1	1	0	1	1	1	0	0	0	1
M_2h3cbzpyr_c	1	1	1	1	1	0	1	1	1	1	1
M_2h3mbzpyr_c	1	1	1	1	1	0	1	1	1	1	1
M_2h3oppan_c	1	1	1	1	1	1	1	1	1	1	1
M_2h4chdedt_c	0	1	0	0	0	1	1	0	1	0	1
M_2h4hmbnpyr_c	1	1	1	1	1	0	1	1	1	1	1
M_2hadnt_c	1	1	1	1	1	1	1	1	1	1	1
M_2hdec9eg3p_c	1	1	1	1	1	1	1	1	1	1	1
M_2hdec9eg3p_p	1	1	1	1	1	1	1	1	1	1	1
M_2hdecg3p_c	1	1	1	1	1	1	1	1	1	1	1
M_2hdecg3p_p	1	1	1	1	1	1	1	1	1	1	1
M_2hhep24dd_c	1	1	1	1	1	1	1	1	1	1	1
M_2hhpdd_c	1	1	1	1	1	0	1	1	1	1	1
M_2hlmdnit_c	1	1	1	1	1	1	1	1	1	1	1
M_2hmc_c	1	1	1	1	1	1	1	1	1	1	1
M_2hmcnsad_c	0	0	0	1	0	0	0	1	0	0	0
M_2hp6mobq_me_c	1	1	1	1	1	1	1	1	1	1	1
M_2hpmhobq_c	1	1	1	1	1	1	1	1	1	1	1
M_2hyoxplac_c	1	1	1	1	1	1	1	1	1	1	1
M_2ins_c	1	1	1	1	1	1	1	1	0	1	1
M_2ippm_c	1	1	1	1	1	1	1	1	1	1	1
M_2kchccoa_c	1	1	1	1	1	0	1	1	1	0	0
M_2kmb_c	1	1	1	1	1	1	1	1	1	1	1
M_2kmb_e	1	1	1	1	1	1	1	1	1	1	1
M_2m2ecoa_c	1	1	1	1	1	1	1	1	1	1	1
M_2m35mdntha_c	1	1	1	1	1	1	1	1	1	1	1
M_2m35mdntha_e	1	1	1	1	1	1	1	1	1	1	1
M_2mac_c	1	1	1	1	1	1	1	1	1	1	1
M_2mahmp_c	1	1	1	1	1	1	1	1	1	1	1
M_2mbcoa_c	1	1	1	1	1	1	1	1	1	1	1
M_2mcacn_c	1	1	1	1	1	1	1	1	1	1	1
M_2mcit_c	1	1	1	1	1	1	1	1	1	1	1
M_2me4p_c	1	1	1	1	1	1	1	1	1	1	1
M_2mecdp_c	1	1	1	1	1	1	1	1	1	1	1
M_2mnapth_c	1	1	1	1	1	1	1	1	1	1	1
M_2mp2coa_c	1	1	1	1	1	1	1	1	1	1	1
M_2mppacoa_c	1	1	1	1	1	1	1	1	1	1	1
M_2napald_c	1	1	1	1	1	1	1	1	1	1	1
M_2naptcoa_c	1	1	1	1	1	1	1	1	1	1	1
M_2napthm_c	1	1	1	1	1	1	1	1	1	1	1
M_2o3e_c	1	1	1	1	1	0	1	1	1	1	1
M_2obut_c	1	1	1	1	1	1	1	1	1	1	1
M_2obut_e	1	1	1	1	1	1	1	1	1	1	1
M_2obut_p	1	1	1	1	1	1	1	1	1	1	1
M_2odec11eg3p_c	1	1	1	1	1	1	1	1	1	1	1
M_2odec11eg3p_p	1	1	1	1	1	1	1	1	1	1	1
M_2odecg3p_c	1	1	1	1	1	1	1	1	1	1	1
M_2odecg3p_p	1	1	1	1	1	1	1	1	1	1	1
M_2ogm_c	1	1	1	1	1	1	1	1	1	1	1
M_2ohph_c	1	1	1	1	1	1	1	1	1	1	1
M_2ombzl_c	1	1	1	1	1	1	1	1	1	1	1
M_2omhmbl_c	1	1	1	1	1	1	1	1	1	1	1
M_2ommbl_c	1	1	1	1	1	1	1	1	1	1	1
M_2omph_c	1	1	1	1	1	1	1	1	1	1	1
M_2oph_c	1	1	1	1	1	1	1	1	1	1	1
M_2oxpaccoa_c	1	1	1	1	1	1	1	1	1	1	1
M_2p46dc_c	0	1	0	0	0	1	1	0	1	0	1
M_2p4c2me_c	1	1	1	1	1	1	1	1	1	1	1
M_2pg_c	1	1	1	1	1	1	1	1	1	1	1
M_2pglyc_c	1	1	1	1	1	1	1	1	1	1	1
M_2py46dc_c	1	1	1	1	1	1	1	1	1	1	1
M_2tdec7eg3p_c	1	1	1	1	1	1	1	1	1	1	1
M_2tdec7eg3p_p	1	1	1	1	1	1	1	1	1	1	1
M_2tdecg3p_c	1	1	1	1	1	1	1	1	1	1	1
M_2tdecg3p_p	1	1	1	1	1	1	1	1	1	1	1
M_34dhbz_c	1	1	1	1	1	1	1	1	1	1	1
M_34dhbz_e	1	1	1	1	1	1	1	1	1	1	1
M_34dhbz_p	1	1	1	1	1	1	1	1	1	1	1
M_34dhflu_c	1	1	1	1	1	1	1	1	1	1	1
M_34dhmald_c	1	1	1	1	1	1	1	1	1	1	1
M_34dhoxpeg_c	1	1	1	1	1	1	1	1	1	1	1
M_34dhpac_p	1	0	1	0	0	1	0	0	0	0	0
M_34dhpha_c	1	1	1	1	1	1	1	1	1	1	1
M_34dhphe_e	1	1	1	1	1	1	1	1	1	1	1
M_34dphacoa_c	1	1	1	1	1	1	1	1	1	1	1
M_34hpp_c	1	1	1	1	1	1	1	1	1	1	1
M_35cgmp_c	1	1	1	1	1	1	1	1	1	1	1
M_35dnta_c	1	1	1	1	1	1	1	1	1	1	1
M_35dnta_e	1	1	1	1	1	1	1	1	1	1	1
M_3_rhma13unaga_c	0	0	0	0	0	0	1	0	0	0	0
M_3aib_c	1	1	1	1	1	1	1	1	1	1	1
M_3aibt_c	1	1	1	0	1	1	1	0	1	1	1
M_3amp_p	1	1	1	1	0	1	1	1	1	1	1
M_3c2hmp_c	1	1	1	1	1	1	1	1	1	1	1
M_3c2hmucsem_c	0	0	0	1	0	0	0	1	0	0	0
M_3c3hmp_c	1	1	1	1	1	1	1	1	1	1	1
M_3c4mop_c	1	1	1	1	1	1	1	1	1	1	1
M_3chccm_c	1	1	1	0	1	1	1	0	0	0	1
M_3chroald_c	1	1	1	1	1	1	1	1	1	1	1
M_3cmp_p	1	1	1	1	0	1	1	1	1	1	1
M_3cresol_c	1	1	1	1	1	1	1	1	1	1	1
M_3dhq_c	1	1	1	1	1	1	1	1	1	1	1
M_3dhsk_c	1	1	1	1	1	1	1	1	1	1	1
M_3fchdc_c	1	1	1	0	1	1	1	0	1	0	1
M_3fe4s_c	1	1	1	1	1	1	1	1	1	1	1
M_3flcmuc_c	1	1	1	0	1	1	1	0	0	0	1
M_3flrbz_c	1	1	1	0	1	1	1	0	1	0	1
M_3flrcatech_c	1	1	1	0	1	1	1	0	1	0	1
M_3gmp_p	1	1	1	1	0	1	1	1	1	1	1
M_3h2napth_c	1	1	1	1	1	1	1	1	1	1	1
M_3h5m4ecoa_c	1	1	1	1	1	1	1	1	1	1	1
M_3h5ohcoa_c	1	1	1	1	1	1	1	1	1	1	1
M_3haACP_c	1	1	1	1	1	1	1	1	1	1	1
M_3hadpcoa_c	1	1	1	1	1	1	1	1	1	1	1
M_3hanthrn_c	1	1	1	1	1	1	1	1	1	1	1
M_3hasp__L_c	1	1	1	1	1	1	1	1	1	1	1
M_3hbcoa__R_c	1	1	1	1	1	1	1	1	1	1	1
M_3hbcoa_c	1	1	1	1	1	1	1	1	1	1	1
M_3hbz_c	1	0	1	1	0	1	1	1	0	1	1
M_3hcddec5eACP_c	1	1	1	1	1	1	1	1	1	1	1
M_3hcinnm_c	1	1	1	1	1	1	1	1	1	1	1
M_3hcinnm_e	1	1	1	1	1	1	1	1	1	1	1
M_3hcinnm_p	1	1	1	1	1	1	1	1	1	1	1
M_3hcmrs7eACP_c	1	1	1	1	1	1	1	1	1	1	1
M_3hcpalm9eACP_c	1	1	1	1	1	1	1	1	1	1	1
M_3hcvac11eACP_c	1	1	1	1	1	1	1	1	1	1	1
M_3hdcoa_c	1	1	1	1	1	1	1	1	1	1	1
M_3hddcoa_c	1	1	1	1	1	1	1	1	1	1	1
M_3hddecACP_c	1	1	1	1	1	1	1	1	1	1	1
M_3hdecACP_c	1	1	1	1	1	1	1	1	1	1	1
M_3hhcoa_c	1	1	1	1	1	1	1	1	1	1	1
M_3hhdcoa_c	1	1	1	1	1	1	1	1	1	1	1
M_3hhexACP_c	1	1	1	1	1	1	1	1	1	1	1
M_3hibutcoa_c	1	1	1	1	1	1	1	1	1	1	1
M_3hmbcoa_c	1	1	1	1	1	1	1	1	1	1	1
M_3hmcat_c	1	1	1	1	1	1	1	1	1	1	1
M_3hmp_c	1	1	1	1	1	1	1	1	1	1	1
M_3hmrsACP_c	1	1	1	1	1	1	1	1	1	1	1
