ids	RSBA7	RSBDBR229	RSCFB2957	RSGMI1000	RSK60	RSMOLK2	RSPSI07	RSPSS4	RSR24	RSRUN2340	RSUW551
R_3_4DHBZt2	1	1	1	1	1	1	1	1	1	1	1
R_42A12BOOXpp	1	0	1	0	0	1	0	0	0	0	0
R_4CMLCL_kt	1	1	1	1	1	1	1	1	1	1	1
R_4ETHPMH	1	1	1	1	1	1	1	1	1	1	1
R_4H2KPILY	1	1	1	1	1	1	1	1	1	1	1
R_4HBHYOX	1	1	1	1	0	1	1	1	1	1	1
R_4HBZtex	1	1	1	1	1	1	1	1	1	1	1
R_4HOXPACt2pp	1	1	1	1	1	1	1	1	1	1	1
R_4HOXPACt2pp_1	1	1	1	1	1	1	1	1	1	1	1
R_4HPHACtex	1	1	1	1	1	1	1	1	1	1	1
R_4NPHP1pp	1	1	1	1	1	1	1	1	1	1	1
R_4OD	0	0	0	1	0	0	0	1	0	0	0
R_4OKEIS	0	1	0	0	0	1	1	0	1	0	1
R_4OT	1	1	1	1	1	1	1	1	1	1	1
R_4OXCTT	1	1	1	1	1	1	1	1	1	1	1
R_4OXPTCOADHx	1	1	1	1	1	1	1	1	1	1	1
R_4OXPTCOADHy	1	1	1	1	1	1	1	1	1	1	1
R_4PCP	1	1	1	1	1	1	1	1	1	1	1
R_4PCPpp	1	1	1	1	1	1	1	1	1	1	1
R_4PEPTabcpp	1	1	1	1	1	1	1	1	1	1	1
R_5DGLCNR	1	1	1	1	1	1	1	1	1	1	1
R_5DOAN	1	1	1	1	1	1	1	1	1	1	1
R_5HOXINDACTOX	1	1	1	1	1	1	1	1	1	1	1
R_5HPUDICDC_c	1	1	1	1	1	1	1	1	1	1	1
R_5MTRtex	1	1	1	1	1	1	1	1	1	1	1
R_5MTRtpp	1	1	1	1	1	1	1	1	1	1	1
R_5OXPROt2pp	1	1	1	1	1	1	1	1	1	1	1
R_5OXPROtex	1	1	1	1	1	1	1	1	1	1	1
R_6HNACt1pp	1	1	1	1	1	1	1	1	1	1	1
R_6PDDGLUCA	1	1	1	1	1	1	1	1	1	1	1
R_A5PISO	1	1	1	1	1	1	1	1	1	1	1
R_AACOAR	1	1	1	0	1	1	1	0	1	0	1
R_AACOAR_syn	1	1	1	1	1	1	1	1	1	1	1
R_AACOAS	0	1	0	0	0	0	1	0	1	0	0
R_AADT2	0	1	0	0	0	0	1	0	1	0	0
R_AALDCDLsi	1	1	1	1	1	1	1	1	1	1	1
R_AAMYL	1	1	1	1	1	1	1	1	0	1	1
R_AAMYL2	1	1	1	1	1	1	1	1	0	1	1
R_AAMYL3	1	1	1	1	1	1	1	1	0	1	1
R_ABTA	1	1	1	1	1	1	1	1	1	1	1
R_ABUTD	1	1	1	1	1	1	1	1	1	1	1
R_ABUTt2pp	1	1	1	1	1	1	1	1	1	1	1
