STM2109	XFCFBP8418_006460
STM4408	XFCFBP8418_000660
STM1818	XFCFBP8418_025950
STM4081	XFCFBP8418_025760
STM0609	XFCFBP8418_002370
STM0608	XFCFBP8418_002380
STM4087	XFCFBP8418_020710
STM4086	XFCFBP8418_020720
STM3551	XFCFBP8418_025410
STM3554	XFCFBP8418_024670
STM3796	XFCFBP8418_017900
STM0049	XFCFBP8418_004660
STM2104	XFCFBP8418_026200
STM0730	XFCFBP8418_002320
STM4416	XFCFBP8418_026060
STM3206	XFCFBP8418_007450
STM0734	XFCFBP8418_024620
STM1945	XFCFBP8418_019130
STM0977	XFCFBP8418_021100
STM0735	XFCFBP8418_024610
STM0736	XFCFBP8418_002140
STM0737	XFCFBP8418_002150
STM0738	XFCFBP8418_011960
STM0171	XFCFBP8418_010460
STM0739	XFCFBP8418_011970
STM1707	XFCFBP8418_014470
STM2472	XFCFBP8418_025470
STM2474	XFCFBP8418_000640
STM4414	XFCFBP8418_019680
STM0542	XFCFBP8418_004790
STM1511	XFCFBP8418_015390
STM1756	XFCFBP8418_017820
STM3938	XFCFBP8418_018480
STM1193	XFCFBP8418_017940
STM3493	XFCFBP8418_018300
STM1194	XFCFBP8418_005920
STM4221	XFCFBP8418_026530
STM1195	XFCFBP8418_005910
STM4100	XFCFBP8418_010590
STM1196	XFCFBP8418_005900
STM1197	XFCFBP8418_005890
STM2840	XFCFBP8418_008530
STM0423	XFCFBP8418_005980
STM4106	XFCFBP8418_020430
STM4348	XFCFBP8418_003930
STM1752	XFCFBP8418_004800
STM3379	XFCFBP8418_014550
STM0422	XFCFBP8418_020600
STM4105	XFCFBP8418_023810
STM1885	XFCFBP8418_024710
STM1886	XFCFBP8418_024680
STM3700	XFCFBP8418_018110
STM0797	XFCFBP8418_005250
STM3702	XFCFBP8418_012410
STM1888	XFCFBP8418_011050
STM3947	XFCFBP8418_002870
STM3380	XFCFBP8418_014560
STM4230	XFCFBP8418_024670
STM4234	XFCFBP8418_014680
STM4475	XFCFBP8418_015270
STM4236	XFCFBP8418_021180
STM4477	XFCFBP8418_015310
STM0794	XFCFBP8418_014650
STM0795	XFCFBP8418_004000
STM1884	XFCFBP8418_024720
STM0640	XFCFBP8418_004370
STM0088	XFCFBP8418_019500
STM0087	XFCFBP8418_021150
STM2946	XFCFBP8418_002720
STM2947	XFCFBP8418_002710
STM3915	XFCFBP8418_013260
STM2827	XFCFBP8418_015200
STM2948	XFCFBP8418_002700
STM2949	XFCFBP8418_015860
STM1290	XFCFBP8418_007260
STM1291	XFCFBP8418_010720
STM1293	XFCFBP8418_020780
STM2384	XFCFBP8418_003900
STM0648	XFCFBP8418_019710
STM3477	XFCFBP8418_010970
STM0760	XFCFBP8418_014390
STM2146	XFCFBP8418_006340
STM1058	XFCFBP8418_012210
STM0761	XFCFBP8418_016890
STM0762	XFCFBP8418_016890
STM2952	XFCFBP8418_022220
STM2831	XFCFBP8418_019770
STM2953	XFCFBP8418_022240
STM2954	XFCFBP8418_015800
STM3922	XFCFBP8418_026250
STM2956	XFCFBP8418_004340
STM0091	XFCFBP8418_010890
STM0419	XFCFBP8418_009740
STM3483	XFCFBP8418_026760
STM0417	XFCFBP8418_009760
STM0416	XFCFBP8418_009790
STM3486	XFCFBP8418_004170
STM0537	XFCFBP8418_025320
STM3244	XFCFBP8418_017920
STM3002	XFCFBP8418_021170
STM3001	XFCFBP8418_021160
STM2276	XFCFBP8418_005180
STM2155	XFCFBP8418_006950
STM0535	XFCFBP8418_012350
STM1067	XFCFBP8418_006750
STM0534	XFCFBP8418_013040
STM3487	XFCFBP8418_004160
STM0772	XFCFBP8418_016460
STM0772	XFCFBP8418_027800
STM2037	XFCFBP8418_020710
STM3855	XFCFBP8418_019440
STM3854	XFCFBP8418_019450
STM3733	XFCFBP8418_015470
STM2403	XFCFBP8418_024690
STM0222	XFCFBP8418_024840
STM0464	XFCFBP8418_025070
STM0221	XFCFBP8418_024830
STM0463	XFCFBP8418_017690
STM3857	XFCFBP8418_019420
STM3614	XFCFBP8418_025480
STM2526	XFCFBP8418_007250
STM0220	XFCFBP8418_024850
STM3856	XFCFBP8418_019430
STM2408	XFCFBP8418_025100
STM3295	XFCFBP8418_014930
STM3053	XFCFBP8418_003740
STM2084	XFCFBP8418_026210
STM3294	XFCFBP8418_003010
STM3055	XFCFBP8418_015770
STM3054	XFCFBP8418_015760
STM3970	XFCFBP8418_002810
