PP_1132	STM0039
PP_1010	STM1885
PP_0284	STM2793
PP_1373	STM3589
PP_0283	STM0662
PP_0283	STM2351
PP_0283	STM0828
PP_0282	STM0887
PP_0282	STM0890
PP_0281	STM0889
PP_0160	STM0364
PP_0160	STM0191
PP_0280	STM2352
PP_1018	STM4230
PP_1018	STM3554
PP_1139	STM3562
PP_1138	STM3561
PP_1137	STM3560
PP_1378	STM2654
PP_0289	STM2074
PP_1377	STM3982
PP_2465	STM1333
PP_4523	STM3078
PP_4646	STM4084
PP_2589	STM3680
PP_2469	STM1337
PP_4889	STM4366
PP_2470	STM1338
PP_2592	STM0590
PP_2592	STM0192
PP_2351	STM0371
PP_3320	STM2078
PP_4774	STM4061
PP_3322	STM0372
PP_2112	STM1712
PP_0297	STM3240
PP_0297	STM1826
PP_0297	STM2196
PP_0297	STM2971
PP_1386	STM3390
PP_1385	STM3391
PP_1022	STM1886
PP_0295	STM2810
PP_1141	STM3564
PP_1141	STM3567
PP_0294	STM2809
PP_0293	STM2077
PP_1140	STM3563
PP_1469	STM3043
PP_0137	STM4283
PP_1343	STM0134
PP_0496	STM0006
PP_2797	STM4273
PP_2435	STM2543
PP_4736	STM3694
PP_4735	STM3692
PP_4977	STM4105
PP_3768	STM3859
PP_2318	STM0506
PP_2439	STM0608
PP_2680	STM3680
PP_1593	STM0218
PP_2440	STM0609
PP_4862	STM1511
PP_1595	STM0221
PP_3410	STM2029
PP_1231	STM0756
PP_2209	STM0431
PP_1237	STM2489
PP_0026	STM0758
PP_0265	STM2094
PP_4864	STM3561
PP_1596	STM0222
PP_2443	STM3225
PP_4863	STM3560
PP_1597	STM0220
PP_2324	STM1347
PP_2324	STM2670
PP_2324	STM0760
PP_4866	STM3563
PP_4865	STM3562
PP_4868	STM1004
PP_3416	STM4485
PP_3416	STM3542
PP_4867	STM3564
PP_4867	STM3567
PP_3417	STM4482
PP_3417	STM3512
PP_2329	STM1824
PP_4869	STM1310
PP_2208	STM0432
PP_2694	STM3680
PP_4993	STM3095
PP_2453	STM3106
PP_2453	STM3598
PP_1001	STM4467
PP_1484	STM1226
PP_1484	STM0878
PP_1484	STM0428
PP_1000	STM4465
PP_1000	STM4469
PP_1362	STM1888
PP_1240	STM2487
PP_0392	STM3206
PP_1481	STM1597
PP_4717	STM3295
PP_0117	STM1893
PP_1205	STM0242
PP_0115	STM1318
PP_0114	STM0247
PP_0113	STM0246
PP_0597	STM4421
PP_1323	STM0310
PP_1444	STM0169
PP_0112	STM0245
PP_1200	STM3880
PP_3741	STM0640
PP_2774	STM0662
PP_2774	STM2351
PP_2774	STM0828
PP_2657	STM3856
PP_4716	STM3294
PP_2658	STM3855
PP_2659	STM3854
PP_4715	STM4081
PP_4840	STM0150
PP_4840	STM4398
PP_4840	STM0568
PP_4840	STM1584
PP_3992	STM3747
PP_0363	STM0795
PP_1331	STM0122
