PP_0402	RSc0517
PP_1972	RSc1010
PP_1945	RSc1596
PP_0854	RSc1216
PP_1705	RSp1222
PP_1706	RSp1221
PP_1700	RSc1564
PP_1943	RSc1106
PP_1943	RSp0065
PP_1943	RSc1873
PP_5076	RSc2965
PP_5078	RSc2969
PP_5079	RSc2970
PP_5074	RSc3303
PP_1710	RSp0828
PP_0869	RSc2516
PP_2800	RSp1424
PP_0626	RSc2229
PP_5085	RSc2767
PP_5085	RSc2123
PP_5084	RSc2976
PP_0833	RSc2713
PP_0832	RSc2712
PP_1924	RSp0397
PP_1928	RSp1128
PP_0838	RSc1160
PP_5296	RSc2155
PP_5054	RSc0355
PP_5291	RSc0139
PP_0602	RSc2457
PP_0844	RSc1021
PP_0601	RSc2557
PP_0843	RSc1020
PP_0842	RSc1019
PP_0840	RSc1162
PP_0840	RSp1439
PP_0849	RSc1211
PP_0606	RSc2442
PP_0847	RSc1025
PP_0603	RSc2458
PP_5064	RSc3345
PP_5063	RSc3128
PP_5063	RSc2110
PP_1902	RSc2532
PP_1904	RSc2550
PP_0815	RSc2914
PP_0814	RSc2915
PP_0814	RSc1860
PP_0813	RSc2916
PP_0813	RSc1859
PP_0812	RSc2917
PP_0812	RSc1858
PP_1900	RSc2530
PP_4185	RSc0555
PP_5032	RSc2646
PP_4187	RSc1271
PP_4186	RSc0554
PP_5033	RSc2647
PP_5278	RSc3128
PP_5278	RSc2110
PP_4189	RSc1269
PP_3099	RSp0744
PP_4188	RSc1270
PP_5270	RSc0926
PP_5030	RSc2644
PP_1912	RSc1049
PP_1913	RSc1051
PP_1914	RSc1052
PP_1915	RSc1053
PP_1916	RSc1054
PP_5285	RSc2461
PP_5286	RSc2463
PP_5289	RSc0033
PP_5046	RSp0886
PP_5046	RSc1258
PP_5288	RSc0691
PP_4190	RSc1993
PP_4191	RSc1994
PP_4194	RSc1991
PP_5040	RSc2126
PP_4159	RSc3384
PP_3073	RSc1572
PP_3074	RSc2518
PP_5011	RSc0458
PP_5014	RSc2945
PP_5013	RSc0461
PP_5258	RSc0161
PP_5258	RSp1591
PP_5015	RSc2944
PP_4161	RSc3382
PP_4160	RSc3383
PP_4175	RSp0357
PP_5269	RSc1371
PP_0809	RSc1373
PP_3080	RSc0743
PP_3080	RSc2660
PP_4138	RSp1495
PP_5227	RSc2979
PP_5228	RSc0137
PP_4140	RSc2365
PP_5233	RSc0343
PP_4144	RSc1515
PP_4147	RSc1173
PP_4149	RSc1175
PP_4148	RSc1174
PP_5246	RSc3096
PP_4150	RSc1176
PP_4150	RSc1379
PP_4116	RSc1358
PP_4120	RSc2061
PP_3274	RSp0608
PP_4123	RSc2057
PP_3275	RSp0607
PP_3276	RSp0606
PP_4125	RSc2055
PP_3277	RSp0605
PP_5213	RSc0708
PP_3278	RSp0604
PP_1097	RSc2381
PP_5216	RSc1537
PP_3279	RSc2875
PP_4126	RSc2054
PP_5215	RSc1188
PP_4129	RSc2051
PP_5217	RSc1536
PP_3282	RSc2013
PP_3283	RSc2873
PP_3284	RSc2872
PP_3285	RSc1133
PP_3280	RSc2252
PP_1069	RSc0483
PP_1068	RSp0932
PP_1068	RSc2260
PP_1068	RSc3408
PP_1068	RSc0484
PP_1068	RSc2106
PP_1070	RSc0482
PP_2160	RSc0448
PP_1075	RSc3052
PP_1073	RSc3045
PP_1071	RSc0481
PP_1071	RSc2261
PP_1079	RSc2554
PP_2168	RSc1231
PP_4108	RSc0029
PP_1086	RSc0487
PP_1082	RSc0350
PP_4677	RSc2073
PP_3346	RSc2866
PP_3346	RSc1885
PP_4434	RSc0926
PP_4679	RSc2076
PP_2017	RSc2125
PP_4678	RSc2075
PP_3590	RSc1010
PP_4680	RSc2077
PP_2265	RSc1596
PP_4202	RSc0923
PP_3597	RSp0932
PP_3597	RSc2260
PP_3597	RSc3408
PP_3597	RSc0484
PP_3597	RSc2106
PP_4201	RSc0924
PP_1177	RSc2804
PP_0083	RSc1983
PP_0082	RSc1981
PP_1171	RSp0831
PP_1179	RSc2805
PP_3356	RSp0227
PP_4203	RSc1567
